Year,Month,Forecasted_Cost,Forecasted_Leads,Forecasted_Applications
2025,January,36261.680960000005,3482.2720000000004,531.504
2025,February,36261.680960000005,3491.2960000000003,530.912
2025,March,36262.76384000001,3503.3120000000004,533.072
2025,April,35898.536,3433.0400000000004,533.12
2025,May,35052.260160000005,3424.8800000000006,530.8000000000001
2025,June,34647.55808000001,3413.568,529.328
2025,July,33921.336480000005,3417.0400000000004,530.944
2025,August,35156.77248,3417.0400000000004,534.592
2025,September,35836.92783999999,3423.232,532.8000000000001
2025,October,35754.03088,3307.4400000000005,529.4399999999999
2025,November,35757.225759999994,3309.168,535.9520000000001
2025,December,35956.092639999995,3279.936,533.7760000000001
